SIDO_CD,SIDO_NM,GUNGU_CD,GUNGU_NM_ENG,GUNGU_NM_KOR,KEY,DEPOPULATING,PART,ORDER_DE,ORDER_POP
11,서울특별시,11110,Jongno-gu,종로구,서울특별시 종로구,0,-9,-9,-9
11,서울특별시,11140,Jung-gu,중구,서울특별시 중구,0,-9,-9,-9
11,서울특별시,11170,Yongsan-gu,용산구,서울특별시 용산구,0,-9,-9,-9
11,서울특별시,11200,Seongdong-gu,성동구,서울특별시 성동구,0,-9,-9,-9
11,서울특별시,11215,Gwangjin-gu,광진구,서울특별시 광진구,0,-9,-9,-9
11,서울특별시,11230,Dongdaemun-gu,동대문구,서울특별시 동대문구,0,-9,-9,-9
11,서울특별시,11260,Jungnang-gu,중랑구,서울특별시 중랑구,0,-9,-9,-9
11,서울특별시,11290,Seongbuk-gu,성북구,서울특별시 성북구,0,-9,-9,-9
11,서울특별시,11305,Gangbuk-gu,강북구,서울특별시 강북구,0,-9,-9,-9
11,서울특별시,11320,Dobong-gu,도봉구,서울특별시 도봉구,0,-9,-9,-9
11,서울특별시,11350,Nowon-gu,노원구,서울특별시 노원구,0,-9,-9,-9
11,서울특별시,11380,Eunpyeong-gu,은평구,서울특별시 은평구,0,-9,-9,-9
11,서울특별시,11410,Seodaemun-gu,서대문구,서울특별시 서대문구,0,-9,-9,-9
11,서울특별시,11440,Mapo-gu,마포구,서울특별시 마포구,0,-9,-9,-9
11,서울특별시,11470,Yangcheon-gu,양천구,서울특별시 양천구,0,-9,-9,-9
11,서울특별시,11500,Gangseo-gu,강서구,서울특별시 강서구,0,-9,-9,-9
11,서울특별시,11530,Guro-gu,구로구,서울특별시 구로구,0,-9,-9,-9
11,서울특별시,11545,Geumcheon-gu,금천구,서울특별시 금천구,0,-9,-9,-9
11,서울특별시,11560,Yeongdeungpo-gu,영등포구,서울특별시 영등포구,0,-9,-9,-9
11,서울특별시,11590,Dongjak-gu,동작구,서울특별시 동작구,0,-9,-9,-9
11,서울특별시,11620,Gwanak-gu,관악구,서울특별시 관악구,0,-9,-9,-9
11,서울특별시,11650,Seocho-gu,서초구,서울특별시 서초구,0,-9,-9,-9
11,서울특별시,11680,Gangnam-gu,강남구,서울특별시 강남구,0,-9,-9,-9
11,서울특별시,11710,Songpa-gu,송파구,서울특별시 송파구,0,-9,-9,-9
11,서울특별시,11740,Gangdong-gu,강동구,서울특별시 강동구,0,-9,-9,-9
26,부산광역시,26110,Jung-gu,중구,부산광역시 중구,2,6,-9,2
26,부산광역시,26140,Seo-gu,서구,부산광역시 서구,1,6,2,-9
26,부산광역시,26170,Dong-gu,동구,부산광역시 동구,1,6,1,-9
26,부산광역시,26200,Yeongdo-gu,영도구,부산광역시 영도구,1,6,3,-9
26,부산광역시,26230,Busanjin-gu,부산진구,부산광역시 부산진구,0,-9,0,0
26,부산광역시,26260,Dongnae-gu,동래구,부산광역시 동래구,0,-9,-9,-9
26,부산광역시,26290,Nam-gu,남구,부산광역시 남구,0,-9,-9,-9
26,부산광역시,26320,Buk-gu,북구,부산광역시 북구,0,-9,-9,-9
26,부산광역시,26350,Haeundae-gu,해운대구,부산광역시 해운대구,0,-9,-9,-9
26,부산광역시,26380,Saha-gu,사하구,부산광역시 사하구,0,-9,-9,-9
26,부산광역시,26410,Geumjeong-gu,금정구,부산광역시 금정구,2,6,-9,1
26,부산광역시,26440,Gangseo-gu,강서구,부산광역시 강서구,0,-9,-9,-9
26,부산광역시,26470,Yeonje-gu,연제구,부산광역시 연제구,0,-9,-9,-9
26,부산광역시,26500,Suyeong-gu,수영구,부산광역시 수영구,0,-9,-9,-9
26,부산광역시,26530,Sasang-gu,사상구,부산광역시 사상구,0,-9,-9,-9
26,부산광역시,26710,Gijang-gun,기장군,부산광역시 기장군,0,-9,-9,-9
27,대구광역시,27110,Jung-gu,중구,대구광역시 중구,0,-9,-9,-9
27,대구광역시,27140,Dong-gu,동구,대구광역시 동구,0,-9,-9,-9
27,대구광역시,27170,Seo-gu,서구,대구광역시 서구,1,5,2,-9
27,대구광역시,27200,Nam-gu,남구,대구광역시 남구,1,5,1,-9
27,대구광역시,27230,Buk-gu,북구,대구광역시 북구,0,-9,-9,-9
27,대구광역시,27260,Suseong-gu,수성구,대구광역시 수성구,0,-9,-9,-9
27,대구광역시,27290,Dalseo-gu,달서구,대구광역시 달서구,0,-9,-9,-9
27,대구광역시,27710,Dalseong-gun,달성군,대구광역시 달성군,0,-9,-9,-9
28,인천광역시,28110,Jung-gu,중구,인천광역시 중구,0,-9,-9,-9
28,인천광역시,28140,Dong-gu,동구,인천광역시 동구,2,1,-9,1
28,인천광역시,28177,Michuhol-gu,미추홀구,인천광역시 미추홀구,0,-9,-9,-9
28,인천광역시,28185,Yeonsu-gu,연수구,인천광역시 연수구,0,-9,-9,-9
28,인천광역시,28200,Namdong-gu,남동구,인천광역시 남동구,0,-9,-9,-9
28,인천광역시,28237,Bupyeong-gu,부평구,인천광역시 부평구,0,-9,-9,-9
28,인천광역시,28245,Gyeyang-gu,계양구,인천광역시 계양구,0,-9,-9,-9
28,인천광역시,28260,Seo-gu,서구,인천광역시 서구,0,-9,-9,-9
28,인천광역시,28710,Ganghwa-gun,강화군,인천광역시 강화군,1,1,1,-9
28,인천광역시,28720,Ongjin-gun,옹진군,인천광역시 옹진군,1,1,2,-9
29,광주광역시,29110,Dong-gu,동구,광주광역시 동구,2,4,-9,1
29,광주광역시,29140,Seo-gu,서구,광주광역시 서구,0,-9,-9,-9
29,광주광역시,29155,Nam-gu,남구,광주광역시 남구,0,-9,-9,-9
29,광주광역시,29170,Buk-gu,북구,광주광역시 북구,0,-9,-9,-9
29,광주광역시,29200,Gwangsan-gu,광산구,광주광역시 광산구,0,-9,-9,-9
30,대전광역시,30110,Dong-gu,동구,대전광역시 동구,2,2,-9,3
30,대전광역시,30140,Jung-gu,중구,대전광역시 중구,2,2,-9,2
30,대전광역시,30170,Seo-gu,서구,대전광역시 서구,0,-9,-9,-9
30,대전광역시,30200,Yuseong-gu,유성구,대전광역시 유성구,0,-9,-9,-9
30,대전광역시,30230,Daedeok-gu,대덕구,대전광역시 대덕구,2,2,-9,1
31,울산광역시,31110,Jung-gu,중구,울산광역시 중구,0,-9,-9,-9
31,울산광역시,31140,Nam-gu,남구,울산광역시 남구,0,-9,-9,-9
31,울산광역시,31170,Dong-gu,동구,울산광역시 동구,0,-9,-9,-9
31,울산광역시,31200,Buk-gu,북구,울산광역시 북구,0,-9,-9,-9
31,울산광역시,31710,Ulju-gun,울주군,울산광역시 울주군,0,-9,-9,-9
36,세종특별자치시,36110,Sejong-si,세종특별자치시,세종특별자치시,0,-9,-9,-9
41,경기도,41110,Suwon-si,수원시,경기도 수원시,0,-9,-9,-9
41,경기도,41130,Seongnam-si,성남시,경기도 성남시,0,-9,-9,-9
41,경기도,41150,Uijeongbu-si,의정부시,경기도 의정부시,0,-9,-9,-9
41,경기도,41170,Anyang-si,안양시,경기도 안양시,0,-9,-9,-9
41,경기도,41190,Bucheon-si,부천시,경기도 부천시,0,-9,-9,-9
41,경기도,41210,Gwangmyeong-si,광명시,경기도 광명시,0,-9,-9,-9
41,경기도,41220,Pyeongtaek-si,평택시,경기도 평택시,0,-9,-9,-9
41,경기도,41250,Dongducheon-si,동두천시,경기도 동두천시,2,1,-9,2
41,경기도,41270,Ansan-si,안산시,경기도 안산시,0,-9,-9,-9
41,경기도,41280,Goyang-si,고양시,경기도 고양시,0,-9,-9,-9
41,경기도,41290,Gwacheon-si,과천시,경기도 과천시,0,-9,-9,-9
41,경기도,41310,Guri-si,구리시,경기도 구리시,0,-9,-9,-9
41,경기도,41360,Namyangju-si,남양주시,경기도 남양주시,0,-9,-9,-9
41,경기도,41370,Osan-si,오산시,경기도 오산시,0,-9,-9,-9
41,경기도,41390,Siheung-si,시흥시,경기도 시흥시,0,-9,-9,-9
41,경기도,41410,Gunpo-si,군포시,경기도 군포시,0,-9,-9,-9
41,경기도,41430,Uiwang-si,의왕시,경기도 의왕시,0,-9,-9,-9
41,경기도,41450,Hanam-si,하남시,경기도 하남시,0,-9,-9,-9
41,경기도,41460,Yongin-si,용인시,경기도 용인시,0,-9,-9,-9
41,경기도,41480,Paju-si,파주시,경기도 파주시,0,-9,-9,-9
41,경기도,41500,Icheon-si,이천시,경기도 이천시,0,-9,-9,-9
41,경기도,41550,Anseong-si,안성시,경기도 안성시,0,-9,-9,-9
41,경기도,41570,Gimpo-si,김포시,경기도 김포시,0,-9,-9,-9
41,경기도,41590,Hwaseong-si,화성시,경기도 화성시,0,-9,-9,-9
41,경기도,41610,Gwangju-si,광주시,경기도 광주시,0,-9,-9,-9
41,경기도,41630,Yangju-si,양주시,경기도 양주시,0,-9,-9,-9
41,경기도,41650,Pocheon-si,포천시,경기도 포천시,2,1,-9,3
41,경기도,41670,Yeoju-si,여주시,경기도 여주시,0,-9,-9,-9
41,경기도,41800,Yeoncheon-gun,연천군,경기도 연천군,1,1,4,-9
41,경기도,41820,Gapyeong-gun,가평군,경기도 가평군,1,1,3,-9
41,경기도,41830,Yangpyeong-gun,양평군,경기도 양평군,0,-9,-9,-9
42,강원도,42110,Chuncheon-si,춘천시,강원도 춘천시,0,-9,-9,-9
42,강원도,42130,Wonju-si,원주시,강원도 원주시,0,-9,-9,-9
42,강원도,42150,Gangneung-si,강릉시,강원도 강릉시,2,1,-9,4
42,강원도,42170,Donghae-si,동해시,강원도 동해시,2,1,-9,5
42,강원도,42190,Taebaek-si,태백시,강원도 태백시,1,1,12,-9
42,강원도,42210,Sokcho-si,속초시,강원도 속초시,2,1,-9,7
42,강원도,42230,Samcheok-si,삼척시,강원도 삼척시,1,1,6,-9
42,강원도,42720,Hongcheon-gun,홍천군,강원도 홍천군,1,1,14,-9
42,강원도,42730,Hoengseong-gun,횡성군,강원도 횡성군,1,1,16,-9
42,강원도,42750,Yeongwol-gun,영월군,강원도 영월군,1,1,9,-9
42,강원도,42760,Pyeongchang-gun,평창군,강원도 평창군,1,1,13,-9
42,강원도,42770,Jeongseon-gun,정선군,강원도 정선군,1,1,10,-9
42,강원도,42780,Cheorwon-gun,철원군,강원도 철원군,1,1,11,-9
42,강원도,42790,Hwacheon-gun,화천군,강원도 화천군,1,1,15,-9
42,강원도,42800,Yanggu-gun,양구군,강원도 양구군,1,1,7,-9
42,강원도,42810,Inje-gun,인제군,강원도 인제군,2,1,-9,6
42,강원도,42820,Goseong-gun,고성군,강원도 고성군,1,1,5,-9
42,강원도,42830,Yangyang-gun,양양군,강원도 양양군,1,1,8,-9
43,충청북도,43110,Cheongju-si,청주시,충청북도 청주시,0,-9,-9,-9
43,충청북도,43130,Chungju-si,충주시,충청북도 충주시,0,-9,-9,-9
43,충청북도,43150,Jecheon-si,제천시,충청북도 제천시,1,2,6,-9
43,충청북도,43720,Boeun-gun,보은군,충청북도 보은군,1,2,3,-9
43,충청북도,43730,Okcheon-gun,옥천군,충청북도 옥천군,1,2,5,-9
43,충청북도,43740,Yeongdong-gun,영동군,충청북도 영동군,1,2,4,-9
43,충청북도,43745,Jeungpyeong-gun,증평군,충청북도 증평군,0,-9,-9,-9
43,충청북도,43750,Jincheon-gun,진천군,충청북도 진천군,0,-9,-9,-9
43,충청북도,43760,Goesan-gun,괴산군,충청북도 괴산군,1,2,1,-9
43,충청북도,43770,Eumseong-gun,음성군,충청북도 음성군,0,-9,-9,-9
43,충청북도,43800,Danyang-gun,단양군,충청북도 단양군,1,2,2,-9
44,충청남도,44270,Dangjin-si,당진시,충청남도 당진시,0,-9,-9,-9
44,충청남도,44130,Cheonan-si,천안시,충청남도 천안시,0,-9,-9,-9
44,충청남도,44150,Gongju-si,공주시,충청남도 공주시,1,2,7,-9
44,충청남도,44180,Boryeong-si,보령시,충청남도 보령시,1,2,10,-9
44,충청남도,44200,Asan-si,아산시,충청남도 아산시,0,-9,-9,-9
44,충청남도,44210,Seosan-si,서산시,충청남도 서산시,0,-9,-9,-9
44,충청남도,44230,Nonsan-si,논산시,충청남도 논산시,1,2,9,-9
44,충청남도,44250,Gyeryong-si,계룡시,충청남도 계룡시,0,-9,-9,-9
44,충청남도,44710,Geumsan-gun,금산군,충청남도 금산군,1,2,8,-9
44,충청남도,44760,Buyeo-gun,부여군,충청남도 부여군,1,2,11,-9
44,충청남도,44770,Seocheon-gun,서천군,충청남도 서천군,1,2,12,-9
44,충청남도,44790,Cheongyang-gun,청양군,충청남도 청양군,1,2,14,-9
44,충청남도,44800,Hongseong-gun,홍성군,충청남도 홍성군,0,-9,-9,-9
44,충청남도,44810,Yesan-gun,예산군,충청남도 예산군,1,2,13,-9
44,충청남도,44825,Taean-gun,태안군,충청남도 태안군,1,2,15,-9
45,전라북도,45110,Jeonju-si,전주시,전라북도 전주시,0,-9,-9,-9
45,전라북도,45130,Gunsan-si,군산시,전라북도 군산시,0,-9,-9,-9
45,전라북도,45140,Iksan-si,익산시,전라북도 익산시,2,3,-9,1
45,전라북도,45180,Jeongeup-si,정읍시,전라북도 정읍시,1,3,9,-9
45,전라북도,45190,Namwon-si,남원시,전라북도 남원시,1,3,3,-9
45,전라북도,45210,Gimje-si,김제시,전라북도 김제시,1,3,2,-9
45,전라북도,45710,Wanju-gun,완주군,전라북도 완주군,0,-9,-9,-9
45,전라북도,45720,Jinan-gun,진안군,전라북도 진안군,1,3,10,-9
45,전라북도,45730,Muju-gun,무주군,전라북도 무주군,1,3,4,-9
45,전라북도,45740,Jangsu-gun,장수군,전라북도 장수군,1,3,8,-9
45,전라북도,45750,Imsil-gun,임실군,전라북도 임실군,1,3,7,-9
45,전라북도,45770,Sunchang-gun,순창군,전라북도 순창군,1,3,6,-9
45,전라북도,45790,Gochang-gun,고창군,전라북도 고창군,1,3,1,-9
45,전라북도,45800,Buan-gun,부안군,전라북도 부안군,1,3,5,-9
46,전라남도,46110,Mokpo-si,목포시,전라남도 목포시,0,-9,-9,-9
46,전라남도,46130,Yeosu-si,여수시,전라남도 여수시,0,-9,-9,-9
46,전라남도,46150,Suncheon-si,순천시,전라남도 순천시,0,-9,-9,-9
46,전라남도,46170,Naju-si,나주시,전라남도 나주시,0,-9,-9,-9
46,전라남도,46230,Gwangyang-si,광양시,전라남도 광양시,0,-9,-9,-9
46,전라남도,46710,Damyang-gun,담양군,전라남도 담양군,1,4,5,-9
46,전라남도,46720,Gokseong-gun,곡성군,전라남도 곡성군,1,4,3,-9
46,전라남도,46730,Gurye-gun,구례군,전라남도 구례군,1,4,4,-9
46,전라남도,46770,Goheung-gun,고흥군,전라남도 고흥군,1,4,2,-9
46,전라남도,46780,Boseong-gun,보성군,전라남도 보성군,1,4,6,-9
46,전라남도,46790,Hwasun-gun,화순군,전라남도 화순군,1,4,16,-9
46,전라남도,46800,Jangheung-gun,장흥군,전라남도 장흥군,1,4,12,-9
46,전라남도,46810,Gangjin-gun,강진군,전라남도 강진군,1,4,1,-9
46,전라남도,46820,Haenam-gun,해남군,전라남도 해남군,1,4,15,-9
46,전라남도,46830,Yeongam-gun,영암군,전라남도 영암군,1,4,9,-9
46,전라남도,46840,Muan-gun,무안군,전라남도 무안군,0,-9,-9,-9
46,전라남도,46860,Hampyeong-gun,함평군,전라남도 함평군,1,4,14,-9
46,전라남도,46870,Yeonggwang-gun,영광군,전라남도 영광군,1,4,8,-9
46,전라남도,46880,Jangseong-gun,장성군,전라남도 장성군,1,4,11,-9
46,전라남도,46890,Wando-gun,완도군,전라남도 완도군,1,4,10,-9
46,전라남도,46900,Jindo-gun,진도군,전라남도 진도군,1,4,13,-9
46,전라남도,46910,Sinan-gun,신안군,전라남도 신안군,1,4,7,-9
47,경상북도,47110,Pohang-si,포항시,경상북도 포항시,0,-9,-9,-9
47,경상북도,47130,Gyeongju-si,경주시,경상북도 경주시,2,5,-9,1
47,경상북도,47150,Gimcheon-si,김천시,경상북도 김천시,2,5,-9,2
47,경상북도,47170,Andong-si,안동시,경상북도 안동시,1,5,9,-9
47,경상북도,47190,Gumi-si,구미시,경상북도 구미시,0,-9,-9,-9
47,경상북도,47210,Yeongju-si,영주시,경상북도 영주시,1,5,12,-9
47,경상북도,47230,Yeongcheon-si,영천시,경상북도 영천시,1,5,13,-9
47,경상북도,47250,Sangju-si,상주시,경상북도 상주시,1,5,7,-9
47,경상북도,47280,Mungyeong-si,문경시,경상북도 문경시,1,5,5,-9
47,경상북도,47290,Gyeongsan-si,경산시,경상북도 경산시,0,-9,-9,-9
47,경상북도,47720,Gunwi-gun,군위군,경상북도 군위군,1,5,4,-9
47,경상북도,47730,Uiseong-gun,의성군,경상북도 의성군,1,5,16,-9
47,경상북도,47750,Cheongsong-gun,청송군,경상북도 청송군,1,5,18,-9
47,경상북도,47760,Yeongyang-gun,영양군,경상북도 영양군,1,5,11,-9
47,경상북도,47770,Yeongdeok-gun,영덕군,경상북도 영덕군,1,5,10,-9
47,경상북도,47820,Cheongdo-gun,청도군,경상북도 청도군,1,5,17,-9
47,경상북도,47830,Goryeong-gun,고령군,경상북도 고령군,1,5,3,-9
47,경상북도,47840,Seongju-gun,성주군,경상북도 성주군,1,5,8,-9
47,경상북도,47850,Chilgok-gun,칠곡군,경상북도 칠곡군,0,-9,-9,-9
47,경상북도,47900,Yecheon-gun,예천군,경상북도 예천군,0,-9,-9,-9
47,경상북도,47920,Bonghwa-gun,봉화군,경상북도 봉화군,1,5,6,-9
47,경상북도,47930,Uljin-gun,울진군,경상북도 울진군,1,5,15,-9
47,경상북도,47940,Ulleung-gun,울릉군,경상북도 울릉군,1,5,14,-9
48,경상남도,48120,Changwon-si,창원시,경상남도 창원시,0,-9,-9,-9
48,경상남도,48170,Jinju-si,진주시,경상남도 진주시,0,-9,-9,-9
48,경상남도,48220,Tongyeong-si,통영시,경상남도 통영시,2,6,-9,3
48,경상남도,48240,Sacheon-si,사천시,경상남도 사천시,2,6,-9,4
48,경상남도,48250,Gimhae-si,김해시,경상남도 김해시,0,-9,-9,-9
48,경상남도,48270,Miryang-si,밀양시,경상남도 밀양시,1,6,7,-9
48,경상남도,48310,Geoje-si,거제시,경상남도 거제시,0,-9,-9,-9
48,경상남도,48330,Yangsan-si,양산시,경상남도 양산시,0,-9,-9,-9
48,경상남도,48720,Uiryeong-gun,의령군,경상남도 의령군,1,6,9,-9
48,경상남도,48730,Haman-gun,함안군,경상남도 함안군,1,6,12,-9
48,경상남도,48740,Changnyeong-gun,창녕군,경상남도 창녕군,1,6,10,-9
48,경상남도,48820,Goseong-gun,고성군,경상남도 고성군,1,6,5,-9
48,경상남도,48840,Namhae-gun,남해군,경상남도 남해군,1,6,6,-9
48,경상남도,48850,Hadong-gun,하동군,경상남도 하동군,1,6,11,-9
48,경상남도,48860,Sancheong-gun,산청군,경상남도 산청군,1,6,8,-9
48,경상남도,48870,Hamyang-gun,함양군,경상남도 함양군,1,6,13,-9
48,경상남도,48880,Geochang-gun,거창군,경상남도 거창군,1,6,4,-9
48,경상남도,48890,Hapcheon-gun,합천군,경상남도 합천군,1,6,14,-9
50,제주특별자치도,50110,Jeju-si,제주시,제주특별자치도 제주시,0,-9,-9,-9
50,제주특별자치도,50130,Seogwipo-si,서귀포시,제주특별자치도 서귀포시,0,-9,-9,-9
